s,m/s,,s
Time,error,iter,cputime
 5.641E+00, 9.909E-05, 1.359E+02, 5.636E+03
 5.661E+00, 9.892E-05, 1.398E+02, 5.661E+03
 5.680E+00, 9.920E-05, 1.479E+02, 5.686E+03
 5.701E+00, 9.876E-05, 1.316E+02, 5.710E+03
 5.720E+00, 9.900E-05, 1.325E+02, 5.734E+03
 5.740E+00, 9.906E-05, 1.329E+02, 5.758E+03
 5.760E+00, 9.921E-05, 1.337E+02, 5.784E+03
 5.780E+00, 9.903E-05, 1.301E+02, 5.809E+03
 5.801E+00, 9.895E-05, 1.280E+02, 5.835E+03
 5.820E+00, 9.904E-05, 1.464E+02, 5.861E+03
 5.840E+00, 9.927E-05, 1.329E+02, 5.889E+03
 5.861E+00, 9.865E-05, 1.261E+02, 5.916E+03
 5.880E+00, 9.891E-05, 1.146E+02, 5.944E+03
 5.900E+00, 9.908E-05, 1.252E+02, 5.971E+03
 5.921E+00, 9.876E-05, 1.186E+02, 5.998E+03
 5.941E+00, 9.919E-05, 1.183E+02, 6.026E+03
 5.960E+00, 9.881E-05, 1.157E+02, 6.053E+03
 5.980E+00, 9.909E-05, 1.170E+02, 6.080E+03
 6.000E+00, 9.894E-05, 1.249E+02, 6.106E+03
 6.020E+00, 9.904E-05, 1.234E+02, 6.133E+03
 6.040E+00, 9.924E-05, 1.261E+02, 6.160E+03
 6.061E+00, 9.890E-05, 1.137E+02, 6.188E+03
 6.081E+00, 9.902E-05, 1.191E+02, 6.214E+03
 6.101E+00, 9.903E-05, 1.249E+02, 6.241E+03
 6.121E+00, 9.906E-05, 1.329E+02, 6.269E+03
 6.141E+00, 9.913E-05, 1.319E+02, 6.297E+03
 6.161E+00, 9.883E-05, 1.416E+02, 6.322E+03
 6.181E+00, 9.892E-05, 1.275E+02, 6.346E+03
 6.200E+00, 9.910E-05, 1.273E+02, 6.366E+03
 6.220E+00, 9.921E-05, 1.443E+02, 6.389E+03
 6.241E+00, 9.913E-05, 1.253E+02, 6.411E+03
 6.261E+00, 9.922E-05, 1.431E+02, 6.435E+03
 6.280E+00, 9.922E-05, 1.372E+02, 6.460E+03
 6.301E+00, 9.897E-05, 1.279E+02, 6.485E+03
 6.320E+00, 9.884E-05, 1.315E+02, 6.509E+03
 6.341E+00, 9.906E-05, 1.162E+02, 6.535E+03
 6.361E+00, 9.891E-05, 1.270E+02, 6.559E+03
 6.381E+00, 9.908E-05, 1.292E+02, 6.584E+03
 6.400E+00, 9.896E-05, 1.261E+02, 6.609E+03
 6.420E+00, 9.882E-05, 1.268E+02, 6.633E+03
 6.440E+00, 9.923E-05, 1.260E+02, 6.659E+03
