s,m/s,,s
Time,error,iter,cputime
 7.860E+00, 1.238E-02, 6.789E+00, 9.315E+03
 7.880E+00, 1.217E-02, 6.947E+00, 9.345E+03
 7.901E+00, 1.338E-02, 6.211E+00, 9.375E+03
 7.921E+00, 1.211E-02, 6.947E+00, 9.403E+03
 7.941E+00, 1.316E-02, 6.895E+00, 9.433E+03
 7.961E+00, 1.341E-02, 7.000E+00, 9.461E+03
 7.981E+00, 1.314E-02, 6.706E+00, 9.488E+03
 8.000E+00, 1.290E-02, 6.471E+00, 9.514E+03
 8.020E+00, 1.291E-02, 7.353E+00, 9.541E+03
 8.040E+00, 1.286E-02, 7.176E+00, 9.570E+03
 8.061E+00, 1.350E-02, 6.446E+00, 9.598E+03
 8.081E+00, 1.239E-02, 6.359E+00, 9.627E+03
 8.101E+00, 1.261E-02, 6.700E+00, 9.658E+03
 8.120E+00, 1.181E-02, 7.053E+00, 9.690E+03
 8.140E+00, 1.299E-02, 6.500E+00, 9.720E+03
 8.161E+00, 1.316E-02, 6.100E+00, 9.750E+03
 8.181E+00, 1.216E-02, 6.621E+00, 9.780E+03
 8.201E+00, 1.159E-02, 6.500E+00, 9.809E+03
 8.221E+00, 1.199E-02, 6.167E+00, 9.836E+03
 8.240E+00, 1.264E-02, 5.943E+00, 9.861E+03
 8.261E+00, 1.181E-02, 6.059E+00, 9.886E+03
 8.281E+00, 1.168E-02, 6.562E+00, 9.910E+03
 8.300E+00, 1.169E-02, 6.188E+00, 9.934E+03
 8.321E+00, 1.258E-02, 6.235E+00, 9.958E+03
 8.341E+00, 1.281E-02, 6.006E+00, 9.982E+03
 8.360E+00, 1.249E-02, 6.286E+00, 1.000E+04
 8.380E+00, 1.303E-02, 6.133E+00, 1.002E+04
 8.401E+00, 1.234E-02, 6.181E+00, 1.005E+04
 8.421E+00, 1.376E-02, 6.471E+00, 1.007E+04
 8.441E+00, 1.332E-02, 6.312E+00, 1.010E+04
 8.460E+00, 1.330E-02, 6.625E+00, 1.012E+04
 8.481E+00, 1.389E-02, 7.000E+00, 1.014E+04
 8.500E+00, 1.235E-02, 7.000E+00, 1.017E+04
 8.521E+00, 1.295E-02, 6.529E+00, 1.020E+04
 8.540E+00, 1.249E-02, 6.813E+00, 1.022E+04
 8.561E+00, 1.314E-02, 7.077E+00, 1.025E+04
 8.580E+00, 1.304E-02, 6.833E+00, 1.028E+04
 8.601E+00, 1.327E-02, 6.316E+00, 1.031E+04
 8.620E+00, 1.293E-02, 6.500E+00, 1.033E+04
 8.641E+00, 1.338E-02, 6.895E+00, 1.036E+04
