s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 3.0250300E-001, 5.2892066E-002, 6.3636650E-005, 1.0000000E+000, 1.5977395E+002, 4.6000000E+001, 8.7522387E-009, 5.6663088E-001
 3.0463875E-001, 5.2825221E-002, 6.3876106E-005, 1.0000000E+000, 1.6186838E+002, 4.6500000E+001, 6.1309976E-009, 5.6545748E-001
 3.0677449E-001, 5.2758022E-002, 6.4151755E-005, 1.0000000E+000, 1.6367998E+002, 4.7000000E+001, 5.2180665E-009, 5.6715753E-001
 3.0891023E-001, 5.2690471E-002, 6.4334102E-005, 1.0000000E+000, 1.6554157E+002, 4.7000000E+001, 5.8291508E-009, 5.6841004E-001
 3.1104598E-001, 5.2622569E-002, 6.4454815E-005, 1.0000000E+000, 1.6766305E+002, 4.7000000E+001, 6.8409302E-009, 5.7026352E-001
 3.1211385E-001, 5.2571425E-002, 6.4553712E-005, 1.0000000E+000, 1.6883358E+002, 4.7000000E+001, 7.9567752E-009, 5.7205234E-001
 3.1424960E-001, 5.2520065E-002, 6.4683124E-005, 1.0000000E+000, 1.7003738E+002, 4.7000000E+001, 9.3140922E-009, 5.7389578E-001
 3.1638534E-001, 5.2451298E-002, 6.4883190E-005, 1.0000000E+000, 1.7195230E+002, 4.8000000E+001, 6.4018689E-009, 5.7598924E-001
 3.1852108E-001, 5.2382188E-002, 6.5087154E-005, 1.0000000E+000, 1.7357603E+002, 4.8000000E+001, 7.3065442E-009, 5.7749487E-001
 3.2054852E-001, 5.2318681E-002, 5.6934350E-005, 1.0000000E+000, 1.7578964E+002, 4.8000000E+001, 7.7153690E-009, 5.7865433E-001
 3.2246764E-001, 5.2258901E-002, 4.9131691E-005, 1.0000000E+000, 1.7757919E+002, 4.8000000E+001, 7.8810150E-009, 5.7960797E-001
 3.2438677E-001, 5.2195973E-002, 5.2382997E-005, 1.0000000E+000, 1.7919444E+002, 4.8000000E+001, 8.5233044E-009, 5.8043820E-001
 3.2630589E-001, 5.2132775E-002, 5.4800837E-005, 1.0000000E+000, 1.8107091E+002, 4.8000000E+001, 9.0998468E-009, 5.8112361E-001
 3.2822502E-001, 5.2069308E-002, 5.5720392E-005, 1.0000000E+000, 1.8304325E+002, 4.8000000E+001, 9.0961567E-009, 5.8101550E-001
