s,Pa,m/s,
Time,"pres","error","iter"
 5.4020055E-001, 3.0353421E-002, 4.8409925E-004, 1.0000000E+000
 5.4229124E-001, 2.9878588E-002, 4.6435784E-004, 1.0000000E+000
 5.4438193E-001, 2.9469418E-002, 4.1668002E-004, 1.0000000E+000
 5.4647262E-001, 2.9127457E-002, 3.5744732E-004, 1.0000000E+000
 5.4856331E-001, 2.8852211E-002, 2.8825601E-004, 1.0000000E+000
 5.5065401E-001, 2.8641608E-002, 2.1071952E-004, 1.0000000E+000
 5.5204780E-001, 2.8511913E-002, 1.4119101E-004, 1.0000000E+000
 5.5413849E-001, 2.8425548E-002, 9.6843630E-005, 1.0000000E+000
 5.5622918E-001, 2.8370758E-002, 1.1765367E-004, 1.0000000E+000
 5.5824990E-001, 2.8393234E-002, 1.9044590E-004, 1.0000000E+000
 5.6013068E-001, 2.8521284E-002, 2.6042183E-004, 1.0000000E+000
 5.6201147E-001, 2.8647729E-002, 3.2247354E-004, 1.0000000E+000
 5.6451918E-001, 2.8847466E-002, 3.7889251E-004, 1.0000000E+000
 5.6639996E-001, 2.9095184E-002, 4.2671212E-004, 1.0000000E+000
 5.6828075E-001, 3.0227344E-002, 4.8402079E-004, 2.0000000E+000
 5.7016153E-001, 3.3172125E-002, 5.2801424E-004, 4.0000000E+000
 5.7204231E-001, 3.6030919E-002, 5.4183282E-004, 4.0000000E+000
 5.7455003E-001, 3.9005412E-002, 5.0484264E-004, 2.5000000E+000
 5.7643081E-001, 4.0215352E-002, 4.4986439E-004, 1.0000000E+000
 5.7831159E-001, 4.0260711E-002, 3.9303402E-004, 1.0000000E+000
 5.8019238E-001, 4.0256552E-002, 3.3183039E-004, 1.0000000E+000
 5.8207316E-001, 4.0206548E-002, 2.6092712E-004, 1.0000000E+000
 5.8458087E-001, 4.0094018E-002, 1.8122237E-004, 1.0000000E+000
 5.8646166E-001, 3.9931705E-002, 1.0424286E-004, 1.0000000E+000
 5.8834244E-001, 3.9752840E-002, 1.0262160E-004, 1.0000000E+000
 5.9022322E-001, 3.9539874E-002, 1.6438928E-004, 1.0000000E+000
 5.9210401E-001, 3.9293369E-002, 2.1883730E-004, 1.0000000E+000
 5.9461172E-001, 3.8961945E-002, 2.7114547E-004, 1.0000000E+000
 5.9649250E-001, 3.8585536E-002, 3.1629588E-004, 1.0000000E+000
 5.9837329E-001, 3.8223072E-002, 3.5680829E-004, 1.0000000E+000
 6.0025407E-001, 3.7823770E-002, 4.0953785E-004, 1.0000000E+000
 6.0213485E-001, 3.7387219E-002, 4.5798571E-004, 1.0000000E+000
 6.0401564E-001, 3.6751774E-002, 4.8113064E-004, 1.3333333E+000
 6.0652335E-001, 3.5662597E-002, 4.9598569E-004, 2.0000000E+000
 6.0840413E-001, 3.4270199E-002, 4.9792367E-004, 3.0000000E+000
 6.1028492E-001, 3.3166615E-002, 4.9011147E-004, 1.6666667E+000
 6.1216570E-001, 3.2279380E-002, 4.8682797E-004, 1.0000000E+000
 6.1404648E-001, 3.1391710E-002, 4.7012428E-004, 1.0000000E+000
 6.1655420E-001, 3.0510828E-002, 4.5950956E-004, 1.0000000E+000
 6.1843498E-001, 2.9750326E-002, 4.4334763E-004, 1.0000000E+000
 6.2031576E-001, 2.9182953E-002, 4.3012142E-004, 1.0000000E+000
 6.2219655E-001, 2.8725001E-002, 4.2173121E-004, 1.0000000E+000
 6.2407733E-001, 2.8310178E-002, 3.8968961E-004, 1.0000000E+000
 6.2658504E-001, 2.7888653E-002, 3.4322168E-004, 1.0000000E+000
 6.2846583E-001, 2.7534107E-002, 2.8872959E-004, 1.0000000E+000
 6.3034661E-001, 2.7289697E-002, 2.3696905E-004, 1.0000000E+000
 6.3222739E-001, 2.7099184E-002, 1.8374564E-004, 1.0000000E+000
 6.3410818E-001, 2.6961668E-002, 1.3063694E-004, 1.0000000E+000
 6.3661589E-001, 2.6867212E-002, 9.3210062E-005, 1.0000000E+000
 6.3849667E-001, 2.6834838E-002, 1.4166801E-004, 1.0000000E+000
 6.4037746E-001, 2.6856194E-002, 1.8779802E-004, 1.0000000E+000
 6.4225824E-001, 2.6917553E-002, 2.2914917E-004, 1.0000000E+000
 6.4451395E-001, 2.7162439E-002, 2.6296989E-004, 1.0000000E+000
 6.4620573E-001, 2.7369429E-002, 2.9600636E-004, 1.0000000E+000
