s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 3.6456542E-001, 5.0824889E-002, 9.9842186E-006, 7.5000000E+000, 6.6854577E+002
 3.6648479E-001, 5.0746809E-002, 9.9954266E-006, 6.5000000E+000, 6.7145943E+002
 3.6830816E-001, 5.0675102E-002, 9.9869769E-006, 4.5263249E+000, 6.7417871E+002
 3.7003553E-001, 5.0616202E-002, 9.9950921E-006, 5.0000000E+000, 6.7692330E+002
 3.7262658E-001, 5.0534095E-002, 9.9916582E-006, 5.0000000E+000, 6.8025807E+002
 3.7435395E-001, 5.0451096E-002, 9.9913008E-006, 6.0000000E+000, 6.8369552E+002
 3.7608131E-001, 5.0396694E-002, 9.9895382E-006, 7.0000000E+000, 6.8625478E+002
 3.7867237E-001, 5.0325622E-002, 9.9886842E-006, 5.0000000E+000, 6.8959921E+002
 3.8039974E-001, 5.0256952E-002, 9.9876276E-006, 6.5000000E+000, 6.9319842E+002
 3.8212710E-001, 5.0200548E-002, 9.9935834E-006, 6.5000000E+000, 6.9615685E+002
 3.8471816E-001, 5.0117618E-002, 9.9935154E-006, 5.6666667E+000, 6.9949592E+002
 3.8644552E-001, 5.0026968E-002, 9.9962838E-006, 5.0000000E+000, 7.0251870E+002
 3.8817289E-001, 4.9951541E-002, 9.9836071E-006, 5.0000000E+000, 7.0489766E+002
 3.9076395E-001, 4.9863575E-002, 9.9836179E-006, 5.3333333E+000, 7.0802202E+002
 3.9249131E-001, 4.9783463E-002, 9.9870765E-006, 5.5000000E+000, 7.1111495E+002
 3.9421868E-001, 4.9727822E-002, 9.9837064E-006, 6.5000000E+000, 7.1361251E+002
 3.9680973E-001, 4.9665492E-002, 9.9860374E-006, 6.6666667E+000, 7.1723192E+002
 3.9853710E-001, 4.9597200E-002, 9.9929628E-006, 6.5000000E+000, 7.2076845E+002
 4.0026447E-001, 4.9531358E-002, 9.9802517E-006, 6.5000000E+000, 7.2352364E+002
