s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 5.81666923985250E+000, 9.92748027444743E-001, 7.98876220873939E-001, 9.92748027444743E-001, 7.98876220873939E-001, 6.82188431427517E-002, 1.00000000000000E+000
 5.86254447866167E+000, 9.92764473847338E-001, 8.07853306256959E-001, 9.92764473847338E-001, 8.07853306256959E-001, 7.76696630414488E-002, 1.00000000000000E+000
 5.90841971747084E+000, 9.92845747811264E-001, 8.12853072130671E-001, 9.92845747811264E-001, 8.12853072130671E-001, 5.11973772646038E-002, 1.00000000000000E+000
 5.95429495628001E+000, 9.92879222289649E-001, 8.15110974329593E-001, 9.92879222289649E-001, 8.15110974329593E-001, 6.40600472826100E-002, 1.00000000000000E+000
 6.00017019508918E+000, 9.92956230155739E-001, 8.15029535890696E-001, 9.92956230155739E-001, 8.15029535890696E-001, 6.10835454759426E-002, 1.00000000000000E+000
 6.04604543389835E+000, 9.93070291741002E-001, 8.12985131150023E-001, 9.93070291741002E-001, 8.12985131150023E-001, 5.07390526797637E-002, 1.00000000000000E+000
 6.09192067270752E+000, 9.93242491769247E-001, 8.09317414161542E-001, 9.93242491769247E-001, 8.09317414161542E-001, 5.21081924707496E-002, 1.00000000000000E+000
 6.13779591151668E+000, 9.93510106206096E-001, 8.04323148534498E-001, 9.93510106206096E-001, 8.04323148534498E-001, 5.41705220548235E-002, 1.00000000000000E+000
 6.18367115032585E+000, 9.93903567899878E-001, 7.98259693305135E-001, 9.93903567899878E-001, 7.98259693305135E-001, 5.06171199803215E-002, 1.00000000000000E+000
 6.22954638913502E+000, 9.94388270432131E-001, 7.91357000352543E-001, 9.94388270432131E-001, 7.91357000352543E-001, 5.40281712219293E-002, 1.00000000000000E+000
 6.28000915182511E+000, 9.94988381318128E-001, 7.83137129274262E-001, 9.94988381318128E-001, 7.83137129274262E-001, 5.72841959507453E-002, 1.00000000000000E+000
 6.33047191451519E+000, 9.95645479535668E-001, 7.74541521145780E-001, 9.95645479535668E-001, 7.74541521145780E-001, 5.69592550111980E-002, 1.00000000000000E+000
 6.38598095347429E+000, 9.96409639811124E-001, 7.65476313230576E-001, 9.96409639811124E-001, 7.64973743769182E-001, 6.32732094677142E-002, 1.00000000000000E+000
 6.44148999243338E+000, 9.97184392537870E-001, 7.56706815731592E-001, 9.97184392537870E-001, 7.55573676997718E-001, 5.59151368323391E-002, 1.00000000000000E+000
 6.49699903139248E+000, 9.97860044698525E-001, 7.48105350461756E-001, 9.97860044698525E-001, 7.46588893509743E-001, 5.45504209852623E-002, 1.00000000000000E+000
 6.55250807035157E+000, 9.98453930757338E-001, 7.40258429462805E-001, 9.98453930757338E-001, 7.38245674441418E-001, 6.84065740755726E-002, 1.00000000000000E+000
 6.60801710931066E+000, 9.98968931424057E-001, 7.32883190186166E-001, 9.98968931424057E-001, 7.30717644399974E-001, 5.53447580068186E-002, 1.00000000000000E+000
 6.66352614826976E+000, 9.99403530232104E-001, 7.26216776240123E-001, 9.99403530232104E-001, 7.24140127914544E-001, 5.46137019223276E-002, 1.00000000000000E+000
 6.71903518722885E+000, 9.99775312048797E-001, 7.20915949995606E-001, 9.99775312048797E-001, 7.18578671437965E-001, 6.49255672957746E-002, 1.00000000000000E+000
 6.77454422618795E+000, 1.00001668153432E+000, 7.16359290093337E-001, 1.00001668153432E+000, 7.14049308017820E-001, 5.90528621858462E-002, 1.00000000000000E+000
 6.83005326514704E+000, 1.00012844855053E+000, 7.12478464258299E-001, 1.00012844855053E+000, 7.10520248838919E-001, 5.89133512641941E-002, 1.00000000000000E+000
 6.88556230410614E+000, 1.00004541590700E+000, 7.09205738263844E-001, 1.00004541590700E+000, 7.07934656789536E-001, 6.26329440685926E-002, 1.00000000000000E+000
 6.94107134306523E+000, 9.99929203755167E-001, 7.06489992556489E-001, 9.99929203755167E-001, 7.06228149691354E-001, 7.08323702160193E-002, 1.00000000000000E+000
 6.99658038202432E+000, 9.99705590469564E-001, 7.05350968782060E-001, 9.99705590469564E-001, 7.05350968782060E-001, 6.30034764736340E-002, 1.00000000000000E+000
 7.05208942098342E+000, 9.99327507805023E-001, 7.05285898935108E-001, 9.99327507805023E-001, 7.05285898935108E-001, 6.30747179352242E-002, 1.00000000000000E+000
 7.10759845994251E+000, 9.98674066523610E-001, 7.06301331481341E-001, 9.98674066523610E-001, 7.06301331481341E-001, 6.46892688153823E-002, 1.00000000000000E+000
 7.16310749890161E+000, 9.98127193391628E-001, 7.08117733890015E-001, 9.98127193391628E-001, 7.08117733890015E-001, 8.17528837065050E-002, 1.00000000000000E+000
 7.21861653786070E+000, 9.97531084504940E-001, 7.10765534776965E-001, 9.97531084504940E-001, 7.10765534776965E-001, 7.18450445029477E-002, 1.00000000000000E+000
 7.27412557681980E+000, 9.96814920686098E-001, 7.14126056938875E-001, 9.96814920686098E-001, 7.14126056938875E-001, 9.08042664230419E-002, 1.00000000000000E+000
 7.32963461577889E+000, 9.96048255021772E-001, 7.18013227166676E-001, 9.96048255021772E-001, 7.18013227166676E-001, 8.91115067206891E-002, 1.00000000000000E+000
 7.38514365473799E+000, 9.95441964138659E-001, 7.22115908119544E-001, 9.95441964138659E-001, 7.22115908119544E-001, 4.99769238504526E-002, 2.00000000000000E+000
 7.44620359759299E+000, 9.94623791680786E-001, 7.27311549105958E-001, 9.94623791680786E-001, 7.27311549105958E-001, 9.43654199825841E-002, 1.00000000000000E+000
 7.50726354044799E+000, 9.94191373474758E-001, 7.32621208922650E-001, 9.94191373474758E-001, 7.32621208922650E-001, 6.20080056073751E-002, 2.00000000000000E+000
