s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 1.00042720563002E+001, 9.96587704613008E-001, 8.66239512194147E-001, 9.96587704613008E-001, 8.66239512194147E-001, 6.61124626685291E-002, 1.00000000000000E+000
 1.00584381164221E+001, 9.96619261390247E-001, 8.64727511338627E-001, 9.96619261390247E-001, 8.64727511338627E-001, 9.89991877469828E-002, 1.00000000000000E+000
 1.01126041765440E+001, 9.96752429102351E-001, 8.63340648590967E-001, 9.96752429102351E-001, 8.63340648590967E-001, 3.74423292432625E-002, 2.00000000000000E+000
 1.01667702366660E+001, 9.96845332348832E-001, 8.61611448400285E-001, 9.96845332348832E-001, 8.61611448400285E-001, 7.37621710128658E-002, 1.00000000000000E+000
 1.02209362967879E+001, 9.97029498457909E-001, 8.59775623488036E-001, 9.97029498457909E-001, 8.59775623488036E-001, 9.14130312014983E-002, 1.00000000000000E+000
 1.02751023569099E+001, 9.97212967465463E-001, 8.58186283044472E-001, 9.97212967465463E-001, 8.58186283044472E-001, 3.69891502146384E-002, 2.00000000000000E+000
 1.03292684170318E+001, 9.97418943797549E-001, 8.56397697668973E-001, 9.97418943797549E-001, 8.56397697668973E-001, 7.45781223464554E-002, 1.00000000000000E+000
 1.03834344771537E+001, 9.97651257075167E-001, 8.54633455272176E-001, 9.97651257075167E-001, 8.54633455272176E-001, 9.56872558024348E-002, 1.00000000000000E+000
 1.04376005372757E+001, 9.97872676643536E-001, 8.52891702332076E-001, 9.97872676643536E-001, 8.52891702332076E-001, 8.76586469175784E-002, 1.00000000000000E+000
 1.04917665973976E+001, 9.98090844775434E-001, 8.51099284990402E-001, 9.98090844775434E-001, 8.51099284990402E-001, 9.58021314975005E-002, 1.00000000000000E+000
 1.05459326575196E+001, 9.98171261525279E-001, 8.49653015816072E-001, 9.98171261525279E-001, 8.49653015816072E-001, 4.47239807105215E-002, 2.00000000000000E+000
 1.06055153236537E+001, 9.98321633938962E-001, 8.47608371017337E-001, 9.98321633938962E-001, 8.47608371017337E-001, 7.03059484641539E-002, 1.00000000000000E+000
 1.06650979897878E+001, 9.98405432920490E-001, 8.45756414820013E-001, 9.98405432920490E-001, 8.45756414820013E-001, 4.85781218527077E-002, 2.00000000000000E+000
 1.07246806559220E+001, 9.98478237192682E-001, 8.43636457459356E-001, 9.98478237192682E-001, 8.43636457459356E-001, 7.95951802001923E-002, 1.00000000000000E+000
 1.07842633220561E+001, 9.98428751722477E-001, 8.41575702843238E-001, 9.98428751722477E-001, 8.41575702843238E-001, 4.20138615326729E-002, 2.00000000000000E+000
 1.08438459881903E+001, 9.98399376941214E-001, 8.39048840789136E-001, 9.98399376941214E-001, 8.39048840789136E-001, 7.59059270228184E-002, 1.00000000000000E+000
 1.09034286543244E+001, 9.98380524036634E-001, 8.36201574669509E-001, 9.98380524036634E-001, 8.36201574669509E-001, 3.61618612383479E-002, 2.00000000000000E+000
 1.09564399563413E+001, 9.98355986662340E-001, 8.33201237327337E-001, 9.98355986662340E-001, 8.33201237327337E-001, 7.27337255074242E-002, 1.00000000000000E+000
 1.10094512583583E+001, 9.98426042068369E-001, 8.29921308641983E-001, 9.98426042068369E-001, 8.29921308641983E-001, 9.21066681172329E-002, 1.00000000000000E+000
 1.10624625603753E+001, 9.98446813209220E-001, 8.26134310103608E-001, 9.98446813209220E-001, 8.26134310103608E-001, 3.47975112550434E-002, 2.00000000000000E+000
