s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 8.94737076273361E+000, 9.99999961746220E-001, 1.05188262624239E+000, 9.99999961746220E-001, 1.02329000168086E+000, 4.00649686443977E-002, 2.00000000000000E+000
 9.00865622962102E+000, 9.99999966159054E-001, 1.05402066544889E+000, 9.99999966159054E-001, 1.02505276353181E+000, 8.97952683973644E-002, 1.00000000000000E+000
 9.06994169650844E+000, 9.99999970062840E-001, 1.05433539904356E+000, 9.99999970062840E-001, 1.02599104252651E+000, 8.02093137714155E-002, 2.00000000000000E+000
 9.13122716339586E+000, 9.99999973516296E-001, 1.05313145956187E+000, 9.99999973516296E-001, 1.02611263906406E+000, 5.93943843660192E-002, 1.00000000000000E+000
 9.19251263028328E+000, 9.99999976571372E-001, 1.05005141493553E+000, 9.99999976571372E-001, 1.02547079619650E+000, 9.84167101426086E-002, 1.00000000000000E+000
 9.25379809717069E+000, 9.99999979274025E-001, 1.04530621762544E+000, 9.99999979274025E-001, 1.02409412939014E+000, 9.70512115498638E-002, 1.00000000000000E+000
 9.31508356405811E+000, 9.99999981664909E-001, 1.03943174926489E+000, 9.99999981664909E-001, 1.02225474008736E+000, 3.83489203136262E-002, 2.00000000000000E+000
 9.37636903094553E+000, 9.99999983779987E-001, 1.03480077488029E+000, 9.99999983779987E-001, 1.02016224390224E+000, 4.24339996987255E-002, 2.00000000000000E+000
 9.43765449783295E+000, 9.99999985651076E-001, 1.02993311555034E+000, 9.99999985651076E-001, 1.01810091452264E+000, 4.47830602143162E-002, 2.00000000000000E+000
 9.49893996472036E+000, 9.99999987306323E-001, 1.02486742214056E+000, 9.99999987306323E-001, 1.01616251357496E+000, 9.52746191231817E-002, 1.00000000000000E+000
 9.56022543160778E+000, 9.99999988770625E-001, 1.01989199386251E+000, 9.99999988770625E-001, 1.01457774481261E+000, 4.61392751934822E-002, 2.00000000000000E+000
 9.62151089849520E+000, 9.99999990066011E-001, 1.01574417362223E+000, 9.99999990066011E-001, 1.01341386851277E+000, 6.04659499877287E-002, 1.00000000000000E+000
 9.68279636538262E+000, 9.99999991211964E-001, 1.01296700388741E+000, 9.99999991211964E-001, 1.01296700388741E+000, 6.85634092355025E-002, 1.00000000000000E+000
 9.74408183227003E+000, 9.99999992225725E-001, 1.01327779366639E+000, 9.99999992225725E-001, 1.01327779366639E+000, 3.17124982211339E-002, 2.00000000000000E+000
 9.80536729915745E+000, 9.99999993122541E-001, 1.01470818460559E+000, 9.99999993122541E-001, 1.01470818460559E+000, 6.76021476184934E-002, 1.00000000000000E+000
 9.86665276604487E+000, 9.99999993915903E-001, 1.01653190284085E+000, 9.99999993915903E-001, 1.01653190284085E+000, 6.18271422886529E-002, 2.00000000000000E+000
 9.93406677962103E+000, 9.99999994617745E-001, 1.01926081607708E+000, 9.99999994617745E-001, 1.01926081607708E+000, 9.16001766542551E-002, 1.00000000000000E+000
 9.98860872919525E+000, 9.99999995296630E-001, 1.02085463897151E+000, 9.99999995296630E-001, 1.02085463897151E+000, 6.20681281922568E-002, 2.00000000000000E+000
 1.00431506787695E+001, 9.99999995782699E-001, 1.02275435735806E+000, 9.99999995782699E-001, 1.02275435735806E+000, 6.65586222534889E-002, 1.00000000000000E+000
 1.00976926283437E+001, 9.99999996218534E-001, 1.02466458018214E+000, 9.99999996218534E-001, 1.02466458018214E+000, 9.16845507311712E-002, 1.00000000000000E+000
