s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 2.6000000E-001, 3.0199724E-001, 3.5041068E-001,-3.2507823E-001, 9.7060658E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6200000E-001, 3.0144401E-001, 3.4983394E-001,-3.2526517E-001, 9.9531240E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6400000E-001, 3.0089005E-001, 3.4925796E-001,-3.2535423E-001, 9.9264901E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6600000E-001, 3.0033532E-001, 3.4868272E-001,-3.2543154E-001, 9.7990741E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6800000E-001, 2.9977974E-001, 3.4810815E-001,-3.2550438E-001, 9.7179249E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7000000E-001, 2.9922324E-001, 3.4753419E-001,-3.2557618E-001, 9.7185069E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7200000E-001, 2.9866579E-001, 3.4696078E-001,-3.2571787E-001, 9.6761209E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7400000E-001, 2.9810728E-001, 3.4638783E-001,-3.2585663E-001, 9.7001263E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7600000E-001, 2.9754768E-001, 3.4581528E-001,-3.2599286E-001, 9.7671921E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7800000E-001, 2.9698698E-001, 3.4524307E-001,-3.2612885E-001, 9.8509266E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8000000E-001, 2.9642517E-001, 3.4467113E-001,-3.2626565E-001, 9.9560970E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8200000E-001, 2.9586229E-001, 3.4409938E-001,-3.2647195E-001, 9.9214902E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8400000E-001, 2.9529815E-001, 3.4352750E-001,-3.2673093E-001, 9.8863927E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8600000E-001, 2.9473261E-001, 3.4295546E-001,-3.2695545E-001, 9.8792566E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8800000E-001, 2.9416573E-001, 3.4238324E-001,-3.2708507E-001, 9.7256735E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9000000E-001, 2.9359760E-001, 3.4181084E-001,-3.2713458E-001, 9.7273444E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9200000E-001, 2.9302839E-001, 3.4123836E-001,-3.2718012E-001, 9.6295030E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9400000E-001, 2.9245824E-001, 3.4066570E-001,-3.2722882E-001, 9.4438740E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9600000E-001, 2.9188712E-001, 3.4009270E-001,-3.2728102E-001, 9.3837444E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9800000E-001, 2.9131497E-001, 3.3951922E-001,-3.2733844E-001, 9.4602474E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000000E-001, 2.9074181E-001, 3.3894503E-001,-3.2746762E-001, 9.5226659E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
