s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 2.7800000E-001, 2.9697958E-001, 3.4523087E-001,-3.2675578E-001, 7.4047849E-006, 5.0000000E+000, 3.5000000E+001, 5.7564879E-001, 5.7806914E-009
 2.8000000E-001, 2.9641774E-001, 3.4465886E-001,-3.2691134E-001, 6.3342830E-006, 5.0000000E+000, 3.5000000E+001, 5.7784806E-001, 5.7792510E-009
 2.8200000E-001, 2.9585475E-001, 3.4408705E-001,-3.2706381E-001, 5.4061708E-006, 5.0000000E+000, 3.5000000E+001, 5.7829821E-001, 5.2388542E-009
 2.8400000E-001, 2.9529059E-001, 3.4351536E-001,-3.2721316E-001, 9.7081109E-006, 4.0000000E+000, 3.5000000E+001, 5.7748296E-001, 9.7201127E-009
 2.8600000E-001, 2.9472526E-001, 3.4294369E-001,-3.2735931E-001, 9.9270735E-006, 4.0000000E+000, 3.5000000E+001, 5.7364684E-001, 8.0331510E-009
 2.8800000E-001, 2.9415877E-001, 3.4237195E-001,-3.2750233E-001, 4.9926718E-006, 5.0000000E+000, 3.5000000E+001, 5.7374437E-001, 3.7944087E-009
 2.9000000E-001, 2.9359109E-001, 3.4180004E-001,-3.2764195E-001, 6.0940665E-006, 5.0000000E+000, 3.5000000E+001, 5.7265780E-001, 3.7300217E-009
 2.9200000E-001, 2.9302222E-001, 3.4122788E-001,-3.2777877E-001, 7.2380308E-006, 5.0000000E+000, 3.5000000E+001, 5.7173474E-001, 3.9625654E-009
 2.9400000E-001, 2.9245219E-001, 3.4065533E-001,-3.2791229E-001, 8.3983873E-006, 5.0000000E+000, 3.5000000E+001, 5.7023364E-001, 4.1286419E-009
 2.9600000E-001, 2.9188100E-001, 3.4008228E-001,-3.2804275E-001, 9.4483138E-006, 5.0000000E+000, 3.5000000E+001, 5.6809499E-001, 4.0465163E-009
 2.9800000E-001, 2.9130869E-001, 3.3950859E-001,-3.2817020E-001, 5.2113370E-006, 6.0000000E+000, 3.4000000E+001, 5.7695699E-001, 6.6400832E-009
 3.0000000E-001, 2.9073527E-001, 3.3893416E-001,-3.2829474E-001, 5.4442574E-006, 6.0000000E+000, 3.4000000E+001, 5.7634156E-001, 6.6945050E-009
