s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 1.6014405E+001, 1.0000689E+000, 9.9449794E-001, 9.6009432E-004, 1.3000000E+001
 1.6103064E+001, 1.0000748E+000, 9.9891244E-001, 9.7887053E-004, 1.1000000E+001
 1.6191722E+001, 1.0000755E+000, 1.0034299E+000, 9.2466555E-004, 1.2000000E+001
 1.6280381E+001, 1.0000728E+000, 1.0080298E+000, 9.6446287E-004, 1.2000000E+001
 1.6369040E+001, 1.0000694E+000, 1.0125501E+000, 9.8491105E-004, 1.0000000E+001
 1.6457698E+001, 1.0000669E+000, 1.0168198E+000, 9.5615820E-004, 9.0000000E+000
 1.6546357E+001, 1.0000659E+000, 1.0206646E+000, 9.2505080E-004, 9.0000000E+000
 1.6635016E+001, 1.0000668E+000, 1.0239117E+000, 9.3181419E-004, 9.0000000E+000
 1.6723674E+001, 1.0000697E+000, 1.0263507E+000, 9.6866275E-004, 1.3000000E+001
 1.6812333E+001, 1.0000755E+000, 1.0276064E+000, 9.9781778E-004, 2.0000000E+001
 1.6900992E+001, 1.0000856E+000, 1.0275423E+000, 9.9811737E-004, 1.9000000E+001
 1.6989651E+001, 1.0000985E+000, 1.0264958E+000, 9.8579753E-004, 1.3000000E+001
 1.7078309E+001, 1.0001126E+000, 1.0247783E+000, 9.9055337E-004, 1.0000000E+001
 1.7166968E+001, 1.0001273E+000, 1.0226188E+000, 9.4106814E-004, 1.0000000E+001
 1.7255627E+001, 1.0001419E+000, 1.0201723E+000, 8.2965909E-004, 1.0000000E+001
 1.7344285E+001, 1.0001551E+000, 1.0175509E+000, 8.2276700E-004, 1.0000000E+001
 1.7432944E+001, 1.0001654E+000, 1.0148575E+000, 8.7748804E-004, 8.0000000E+000
 1.7521603E+001, 1.0001723E+000, 1.0123217E+000, 9.0399804E-004, 9.0000000E+000
 1.7610261E+001, 1.0001749E+000, 1.0099839E+000, 9.1943713E-004, 9.0000000E+000
 1.7698920E+001, 1.0001743E+000, 1.0078752E+000, 9.2838139E-004, 9.0000000E+000
 1.7787579E+001, 1.0001716E+000, 1.0059846E+000, 9.4443581E-004, 1.0000000E+001
 1.7876237E+001, 1.0001673E+000, 1.0042803E+000, 9.8570923E-004, 1.1000000E+001
 1.7964896E+001, 1.0001612E+000, 1.0027847E+000, 9.5198983E-004, 1.1000000E+001
 1.8053555E+001, 1.0001525E+000, 1.0015128E+000, 9.3336064E-004, 1.1000000E+001
 1.8142214E+001, 1.0001405E+000, 1.0004654E+000, 9.1547557E-004, 1.0000000E+001
 1.8230872E+001, 1.0001246E+000, 9.9959426E-001, 9.4753483E-004, 1.0000000E+001
 1.8319531E+001, 1.0001051E+000, 9.9884721E-001, 9.2435619E-004, 1.0000000E+001
 1.8408190E+001, 1.0000827E+000, 9.9820835E-001, 9.8827823E-004, 8.0000000E+000
 1.8496848E+001, 1.0000577E+000, 9.9757218E-001, 8.7274777E-004, 8.0000000E+000
 1.8585507E+001, 1.0000304E+000, 9.9693559E-001, 8.1300740E-004, 8.0000000E+000
 1.8674166E+001, 1.0000006E+000, 9.9628790E-001, 9.2520415E-004, 8.0000000E+000
 1.8762824E+001, 9.9996690E-001, 9.9554585E-001, 7.0541887E-004, 1.0000000E+001
 1.8851483E+001, 9.9993016E-001, 9.9495818E-001, 8.8158702E-004, 8.0000000E+000
 1.8940142E+001, 9.9989005E-001, 9.9458529E-001, 9.1219399E-004, 9.0000000E+000
 1.9028800E+001, 9.9984916E-001, 9.9437491E-001, 8.6135004E-004, 1.2000000E+001
